edate,value
1971-01-08,-1.115
1971-01-15,-1.117
1971-01-22,-1.120
1971-01-29,-1.124
1971-02-05,-1.131
1971-02-12,-1.141
1971-02-19,-1.155
1971-02-26,-1.172
1971-03-05,-1.194
1971-03-12,-1.220
1971-03-19,-1.252
1971-03-26,-1.288
1971-04-02,-1.330
1971-04-09,-1.377
1971-04-16,-1.427
1971-04-23,-1.481
1971-04-30,-1.536
1971-05-07,-1.592
1971-05-14,-1.646
1971-05-21,-1.698
1971-05-28,-1.746
1971-06-04,-1.789
1971-06-11,-1.826
1971-06-18,-1.856
1971-06-25,-1.878
1971-07-02,-1.892
1971-07-09,-1.896
1971-07-16,-1.892
1971-07-23,-1.878
1971-07-30,-1.856
1971-08-06,-1.826
1971-08-13,-1.790
1971-08-20,-1.747
1971-08-27,-1.702
1971-09-03,-1.653
1971-09-10,-1.605
1971-09-17,-1.557
1971-09-24,-1.512
1971-10-01,-1.471
1971-10-08,-1.436
1971-10-15,-1.407
1971-10-22,-1.385
1971-10-29,-1.370
1971-11-05,-1.364
1971-11-12,-1.365
1971-11-19,-1.375
1971-11-26,-1.392
1971-12-03,-1.416
1971-12-10,-1.447
1971-12-17,-1.483
1971-12-24,-1.525
1971-12-31,-1.571
1972-01-07,-1.620
1972-01-14,-1.671
1972-01-21,-1.724
1972-01-28,-1.777
1972-02-04,-1.830
1972-02-11,-1.882
1972-02-18,-1.933
1972-02-25,-1.980
1972-03-03,-2.025
1972-03-10,-2.067
1972-03-17,-2.105
1972-03-24,-2.139
1972-03-31,-2.170
1972-04-07,-2.197
1972-04-14,-2.221
1972-04-21,-2.243
1972-04-28,-2.261
1972-05-05,-2.278
1972-05-12,-2.294
1972-05-19,-2.309
1972-05-26,-2.325
1972-06-02,-2.341
1972-06-09,-2.359
1972-06-16,-2.379
1972-06-23,-2.401
1972-06-30,-2.427
1972-07-07,-2.455
1972-07-14,-2.485
1972-07-21,-2.519
1972-07-28,-2.555
1972-08-04,-2.593
1972-08-11,-2.633
1972-08-18,-2.673
1972-08-25,-2.714
1972-09-01,-2.753
1972-09-08,-2.791
1972-09-15,-2.826
1972-09-22,-2.858
1972-09-29,-2.886
1972-10-06,-2.911
1972-10-13,-2.933
1972-10-20,-2.951
1972-10-27,-2.966
1972-11-03,-2.979
1972-11-10,-2.990
1972-11-17,-3.000
1972-11-24,-3.010
1972-12-01,-3.019
1972-12-08,-3.029
1972-12-15,-3.038
1972-12-22,-3.048
1972-12-29,-3.058
1973-01-05,-3.069
1973-01-12,-3.079
1973-01-19,-3.090
1973-01-26,-3.101
1973-02-02,-3.111
1973-02-09,-3.121
1973-02-16,-3.129
1973-02-23,-3.136
1973-03-02,-3.142
1973-03-09,-3.145
1973-03-16,-3.146
1973-03-23,-3.145
1973-03-30,-3.140
1973-04-06,-3.133
1973-04-13,-3.122
1973-04-20,-3.109
1973-04-27,-3.092
1973-05-04,-3.071
1973-05-11,-3.046
1973-05-18,-3.015
1973-05-25,-2.979
1973-06-01,-2.936
1973-06-08,-2.886
1973-06-15,-2.828
1973-06-22,-2.761
1973-06-29,-2.686
1973-07-06,-2.602
1973-07-13,-2.509
1973-07-20,-2.409
1973-07-27,-2.300
1973-08-03,-2.185
1973-08-10,-2.065
1973-08-17,-1.939
1973-08-24,-1.811
1973-08-31,-1.680
1973-09-07,-1.550
1973-09-14,-1.423
1973-09-21,-1.301
1973-09-28,-1.185
1973-10-05,-1.079
1973-10-12,-0.984
1973-10-19,-0.901
1973-10-26,-0.832
1973-11-02,-0.775
1973-11-09,-0.731
1973-11-16,-0.699
1973-11-23,-0.677
1973-11-30,-0.664
1973-12-07,-0.659
1973-12-14,-0.661
1973-12-21,-0.668
1973-12-28,-0.681
1974-01-04,-0.697
1974-01-11,-0.717
1974-01-18,-0.740
1974-01-25,-0.765
1974-02-01,-0.790
1974-02-08,-0.815
1974-02-15,-0.838
1974-02-22,-0.857
1974-03-01,-0.871
1974-03-08,-0.879
1974-03-15,-0.880
1974-03-22,-0.873
1974-03-29,-0.858
1974-04-05,-0.835
1974-04-12,-0.804
1974-04-19,-0.765
1974-04-26,-0.720
1974-05-03,-0.669
1974-05-10,-0.612
1974-05-17,-0.551
1974-05-24,-0.486
1974-05-31,-0.417
1974-06-07,-0.345
1974-06-14,-0.272
1974-06-21,-0.198
1974-06-28,-0.124
1974-07-05,-0.050
1974-07-12,0.021
1974-07-19,0.090
1974-07-26,0.157
1974-08-02,0.221
1974-08-09,0.283
1974-08-16,0.344
1974-08-23,0.404
1974-08-30,0.464
1974-09-06,0.523
1974-09-13,0.581
1974-09-20,0.636
1974-09-27,0.688
1974-10-04,0.733
1974-10-11,0.772
1974-10-18,0.802
1974-10-25,0.822
1974-11-01,0.832
1974-11-08,0.830
1974-11-15,0.818
1974-11-22,0.795
1974-11-29,0.762
1974-12-06,0.718
1974-12-13,0.665
1974-12-20,0.601
1974-12-27,0.528
1975-01-03,0.444
1975-01-10,0.350
1975-01-17,0.248
1975-01-24,0.136
1975-01-31,0.017
1975-02-07,-0.108
1975-02-14,-0.237
1975-02-21,-0.369
1975-02-28,-0.503
1975-03-07,-0.635
1975-03-14,-0.765
1975-03-21,-0.891
1975-03-28,-1.010
1975-04-04,-1.123
1975-04-11,-1.227
1975-04-18,-1.323
1975-04-25,-1.410
1975-05-02,-1.488
1975-05-09,-1.557
1975-05-16,-1.619
1975-05-23,-1.673
1975-05-30,-1.721
1975-06-06,-1.763
1975-06-13,-1.800
1975-06-20,-1.834
1975-06-27,-1.864
1975-07-04,-1.893
1975-07-11,-1.918
1975-07-18,-1.942
1975-07-25,-1.963
1975-08-01,-1.981
1975-08-08,-1.996
1975-08-15,-2.006
1975-08-22,-2.011
1975-08-29,-2.012
1975-09-05,-2.007
1975-09-12,-1.997
1975-09-19,-1.984
1975-09-26,-1.969
1975-10-03,-1.952
1975-10-10,-1.936
1975-10-17,-1.922
1975-10-24,-1.911
1975-10-31,-1.903
1975-11-07,-1.898
1975-11-14,-1.897
1975-11-21,-1.899
1975-11-28,-1.903
1975-12-05,-1.908
1975-12-12,-1.915
1975-12-19,-1.923
1975-12-26,-1.933
1976-01-02,-1.944
1976-01-09,-1.958
1976-01-16,-1.973
1976-01-23,-1.990
1976-01-30,-2.009
1976-02-06,-2.029
1976-02-13,-2.050
1976-02-20,-2.071
1976-02-27,-2.092
1976-03-05,-2.111
1976-03-12,-2.130
1976-03-19,-2.147
1976-03-26,-2.163
