edate,value
1971-01-08,-1.407
1971-01-15,-1.424
1971-01-22,-1.439
1971-01-29,-1.452
1971-02-05,-1.462
1971-02-12,-1.470
1971-02-19,-1.476
1971-02-26,-1.478
1971-03-05,-1.477
1971-03-12,-1.474
1971-03-19,-1.468
1971-03-26,-1.460
1971-04-02,-1.450
1971-04-09,-1.437
1971-04-16,-1.423
1971-04-23,-1.408
1971-04-30,-1.392
1971-05-07,-1.375
1971-05-14,-1.357
1971-05-21,-1.339
1971-05-28,-1.321
1971-06-04,-1.303
1971-06-11,-1.285
1971-06-18,-1.267
1971-06-25,-1.249
1971-07-02,-1.231
1971-07-09,-1.214
1971-07-16,-1.198
1971-07-23,-1.182
1971-07-30,-1.166
1971-08-06,-1.151
1971-08-13,-1.136
1971-08-20,-1.122
1971-08-27,-1.109
1971-09-03,-1.096
1971-09-10,-1.083
1971-09-17,-1.071
1971-09-24,-1.059
1971-10-01,-1.047
1971-10-08,-1.035
1971-10-15,-1.024
1971-10-22,-1.013
1971-10-29,-1.002
1971-11-05,-0.991
1971-11-12,-0.981
1971-11-19,-0.970
1971-11-26,-0.959
1971-12-03,-0.949
1971-12-10,-0.938
1971-12-17,-0.927
1971-12-24,-0.916
1971-12-31,-0.905
1972-01-07,-0.894
1972-01-14,-0.882
1972-01-21,-0.869
1972-01-28,-0.856
1972-02-04,-0.842
1972-02-11,-0.827
1972-02-18,-0.812
1972-02-25,-0.796
1972-03-03,-0.779
1972-03-10,-0.762
1972-03-17,-0.743
1972-03-24,-0.725
1972-03-31,-0.705
1972-04-07,-0.685
1972-04-14,-0.665
1972-04-21,-0.645
1972-04-28,-0.624
1972-05-05,-0.603
1972-05-12,-0.582
1972-05-19,-0.561
1972-05-26,-0.541
1972-06-02,-0.520
1972-06-09,-0.500
1972-06-16,-0.480
1972-06-23,-0.460
1972-06-30,-0.441
1972-07-07,-0.422
1972-07-14,-0.403
1972-07-21,-0.385
1972-07-28,-0.367
1972-08-04,-0.350
1972-08-11,-0.334
